,Rank,Name,Food,Rate,Hit,Review,Favorite,Address,URL,lat,lng
0,1,파스토,이탈리안,4.6,83771,70,2747,서울시 강남구 청담동 19-4,https://www.mangoplate.com//restaurants/jWtQrMbsUu1y,37.5222242,127.0430876
1,2,이치에,이자카야 / 오뎅 / 꼬치,4.7,344893,127,8529,서울시 강남구 신사동 656-7,https://www.mangoplate.com//restaurants/BJk2Z6emjA,37.5253356,127.0376706
2,3,쿠촐로오스테리아,이탈리안,4.7,211757,129,7562,서울시 용산구 용산동2가 45-13,https://www.mangoplate.com//restaurants/z7EYi8LIox,37.5411428,126.9871635
3,4,스시코우지,회 / 스시,4.7,139084,59,3518,서울시 강남구 청담동 1-1,https://www.mangoplate.com//restaurants/btY7z88DBf,37.522897,127.0398344
4,5,엘리스리틀이태리,기타 양식,4.7,122191,116,4102,서울시 송파구 송파동 8,https://www.mangoplate.com//restaurants/vI2c9_tWVwoc,37.5085941,127.104822
5,6,갓포아키,이자카야 / 오뎅 / 꼬치,4.7,225086,81,5736,서울시 강남구 신사동 651-5,https://www.mangoplate.com//restaurants/Qmjyzoyz2-,37.522981,127.0362143
6,7,오가와,회 / 스시,4.6,413357,98,7762,서울시 종로구 당주동 5,https://www.mangoplate.com//restaurants/ba-druB2Lm,37.5719994,126.9742775
7,8,더미,고기 요리,4.6,298579,54,5118,서울시 종로구 종로1가 24,https://www.mangoplate.com//restaurants/HVHjj-BrJD,37.5708033,126.9798544
8,9,바베네,기타 양식,4.6,117977,91,3471,서울시 송파구 송파동 32-3,https://www.mangoplate.com//restaurants/YnDLhi_cWfgz,37.5098803,127.1060633
9,10,브라이리퍼블릭,세계음식 기타,4.6,236956,256,8100,서울시 용산구 이태원동 63-4,https://www.mangoplate.com//restaurants/F4LMucA69A,37.533505,126.990772
10,11,르챔버,칵테일 / 와인,4.6,97704,66,3393,서울시 강남구 청담동 83-4,https://www.mangoplate.com//restaurants/r8IRzo2J_y,37.5262178,127.0411133
11,12,타코로코,남미 음식,4.5,108155,121,3536,서울시 서대문구 창천동 53-97,https://www.mangoplate.com//restaurants/-3qMFUFrZW,37.5581868,126.9348282
12,13,바오바,퓨전 중식,4.6,257037,238,7051,서울시 용산구 이태원동 455-47,https://www.mangoplate.com//restaurants/Oze9oEsG-2J3,37.53458639999999,126.9879537
13,14,진만두,딤섬 / 만두,4.6,287332,195,7746,서울시 마포구 서교동 327-22,https://www.mangoplate.com//restaurants/tCV5CXuBYX,37.5551701,126.929253
14,15,BISTROT de YOUNTVILLE,프랑스 음식,4.5,123406,102,4059,서울시 강남구 청담동 83-6,https://www.mangoplate.com//restaurants/koJ-1vE9dB,37.526034,127.0412231
15,16,서촌김씨,이탈리안,4.6,252669,54,5792,서울시 종로구 창성동 158-2,https://www.mangoplate.com//restaurants/oHT3hFkAv91C,37.5814083,126.9714131
16,17,형제상회,해산물 요리,4.5,275677,69,3881,서울시 동작구 노량진동 13-8,https://www.mangoplate.com//restaurants/drXX2BDsGZ,37.5149689,126.9413848
17,18,이치류,기타 일식,4.6,131809,66,4045,서울시 마포구 서교동 395-124,https://www.mangoplate.com//restaurants/YqO915KDI9,37.550616,126.9191339
18,19,뉴질랜드스토리,브런치 / 버거 / 샌드위치,4.5,174087,155,4720,서울시 송파구 송파동 32-1,https://www.mangoplate.com//restaurants/H6EKPX1ASO,37.5096884,127.105707
19,20,오레노라멘,라멘 / 소바 / 우동,4.5,199666,290,7015,서울시 마포구 합정동 361-1,https://www.mangoplate.com//restaurants/s6C_cdBQX0rj,37.5474401,126.9172933
20,21,트렌치타운,다국적 퓨전,4.5,77355,66,2509,서울시 용산구 이태원동 99-14,https://www.mangoplate.com//restaurants/4DorjGbv9N96,37.53205639999999,126.9944031
21,22,김수사,회 / 스시,4.5,68904,55,2035,서울시 강남구 논현동 4-19,https://www.mangoplate.com//restaurants/tHu1pa6I3E,37.5171309,127.0232083
22,23,라플랑끄,프랑스 음식,4.5,181091,135,6422,서울시 용산구 이태원동 129-9,https://www.mangoplate.com//restaurants/2xCHrukSbR,37.5333085,126.9935094
23,24,와하카,남미 음식,4.4,92126,72,2167,서울시 성동구 성수동2가 299-225,https://www.mangoplate.com//restaurants/Pt9E0TYOuRHG,37.5478891,127.0544441
24,25,고메트리,프랑스 음식,4.4,96857,68,3517,서울시 성동구 금호동4가 235,https://www.mangoplate.com//restaurants/R_lc24xq6q,37.5463204,127.0242025
25,26,육전식당,고기 요리,4.5,202886,135,6211,서울시 동대문구 신설동 104-3,https://www.mangoplate.com//restaurants/qiinV6W6sC,37.5742381,127.0242968
26,27,매니멀스모크하우스,스테이크 / 바베큐,4.4,294142,211,8877,서울시 용산구 이태원동 455-33,https://www.mangoplate.com//restaurants/71KcF_LODj,37.5344824,126.9884314
27,28,진미평양냉면,국수 / 면 요리,4.6,85278,135,2983,서울시 강남구 논현동 115-10,https://www.mangoplate.com//restaurants/cTAy9QS_J5cl,37.5161072,127.0360301
28,29,땅코참숯구이,고기 요리,4.5,148316,100,3617,서울시 성동구 행당동 292-34,https://www.mangoplate.com//restaurants/pPeFnKHcfu,37.5606697,127.0331008
29,30,루이쌍끄,프랑스 음식,4.5,135092,92,4420,서울시 강남구 신사동 657,https://www.mangoplate.com//restaurants/e_j5MgLdyy,37.5262559,127.0370388
30,31,가티,이탈리안,4.5,312311,181,8142,서울시 강남구 신사동 510,https://www.mangoplate.com//restaurants/Aoa-eY0UA5Xo,37.5182242,127.0199825
31,32,뚜또베네,이탈리안,4.6,193010,182,7732,서울시 강남구 청담동 118-9,https://www.mangoplate.com//restaurants/kBJUWk_PCT,37.5257176,127.0471033
32,33,애성회관,탕 / 찌개 / 전골,4.4,96029,65,2848,서울시 중구 북창동 93-36,https://www.mangoplate.com//restaurants/8f3EsL0cak,37.5623993,126.978905
33,34,버블앤코클스,이탈리안,4.4,97872,48,3044,서울시 용산구 한남동 738-14,https://www.mangoplate.com//restaurants/GVwTgpcZ1xE8,37.5362281,126.9991537
34,35,히데미,정통 일식 / 일반 일식,4.4,54262,43,2401,서울시 마포구 상수동 315-3,https://www.mangoplate.com//restaurants/W8l0UdkoENCZ,37.5480635,126.9216129
35,36,다운타우너,브런치 / 버거 / 샌드위치,4.5,96760,182,4303,서울시 강남구 신사동 666-25,https://www.mangoplate.com//restaurants/NjpKcKDN34oD,37.52396969999999,127.0385581
36,37,수카라,기타 양식,4.4,157263,152,6317,서울시 마포구 서교동 327-9,https://www.mangoplate.com//restaurants/6uEC3leFoy,37.555046,126.9300776
37,38,뽕나무쟁이,고기 요리,4.5,133564,189,4726,서울시 강남구 대치동 896-5,https://www.mangoplate.com//restaurants/mjR_ZoQd1e,37.5031613,127.0519876
38,39,레호이,베트남 음식,4.4,114135,169,6329,서울시 용산구 이태원동 261-9,https://www.mangoplate.com//restaurants/iJo6dZId0s,37.5431849,126.9901471
39,40,깔리,인도 음식,4.5,141666,143,4753,서울시 종로구 명륜4가 170-3,https://www.mangoplate.com//restaurants/in8ezN7IbJ,37.5824164,126.9991742
40,41,아날로그가든,브런치 / 버거 / 샌드위치,4.5,240444,189,7458,서울시 마포구 서교동 446-58,https://www.mangoplate.com//restaurants/bs2wK46E3R,37.55543,126.9180243
41,42,중화복춘,정통 중식 / 일반 중식,4.3,152117,141,4319,서울시 마포구 동교동 152-11,https://www.mangoplate.com//restaurants/UgFHZZczFUX-,37.5595279,126.9242445
42,43,맛이차이나,정통 중식 / 일반 중식,4.5,126057,152,4751,서울시 마포구 상수동 321-1,https://www.mangoplate.com//restaurants/TNywLOfH_r,37.5475555,126.9208439
43,44,완차이,정통 중식 / 일반 중식,4.5,114004,112,3283,서울시 서대문구 창천동 5-35,https://www.mangoplate.com//restaurants/YQ6w_FseaC,37.5586817,126.939362
44,45,믹스앤몰트,칵테일 / 와인,4.4,123202,75,3276,서울시 종로구 명륜3가 154-2,https://www.mangoplate.com//restaurants/NUVSiYWVI7,37.5830586,126.9981964
45,46,경천애인 2237,고기 요리,4.4,334932,124,5909,서울시 강남구 삼성동 142-46,https://www.mangoplate.com//restaurants/mcv53uaozM,37.5059362,127.0525135
46,47,창신육회,고기 요리,4.4,90566,110,2962,서울시 종로구 종로4가 165-5,https://www.mangoplate.com//restaurants/0TkoIX33V9,37.5704078,126.9996496
47,48,더파크뷰,뷔페,4.4,119806,107,1862,서울시 중구 장충동2가 202,https://www.mangoplate.com//restaurants/YtI0ysL08J,37.5569776,127.0059138
48,49,잇텐고,라멘 / 소바 / 우동,4.4,122698,181,6685,서울시 마포구 합정동 396-14,https://www.mangoplate.com//restaurants/sSnnhR-dDdqz,37.5492084,126.9092192
49,50,미스터서왕만두,딤섬 / 만두,4.5,135520,201,5267,서울시 서대문구 대현동 27-20,https://www.mangoplate.com//restaurants/Uq3uakGOVd,37.558031,126.9431674
